URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,55,19,0.48648648,0.095115681,778,0.492287918,311.3969152,778,383,778,1677,0,6133
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,76,23,0.53535353,0.119854721,826,0.391041162,330.5564165,826,323,826,1720,0,6459
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.490196069,0.186131386,274,2.04379562,110.4175182,274,560,274,579,0,2212
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,17,27,-0.227272722,0.08477842,519,1.165703276,208.0662813,519,605,519,1100,0,3700
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,33,26,0.118644066,0.092621664,127.4,1.343799058,51.49751962,127.4,856,637,1235,0,4637
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,33,26,0.118644066,0.092621664,127.4,0.632653061,51.21306122,127.4,403,637,1215,0,4637
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,46,10,0.642857131,0.097731239,286.5,0.364746946,114.7458988,286.5,209,573,1200,1,4218
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,31,10,0.512195109,0.073608617,557,1.692998205,223.4771993,557,943,557,1000,0,4067
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,54,6,0.799999987,0.071258907,210.5,1.022565321,84.60902613,210.5,861,842,1700,0,6228
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,7,0,0.999999857,0.03196347,109.5,1.657534247,44.4630137,109.5,363,219,415,0,1497
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,18,44,-0.419354832,0.119230769,260,0.75,104.3,260,390,520,1100,0,3883
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,11,9,0.099999995,0.119760478,83.5,2.874251497,34.5497006,83.5,480,167,336,1,1234
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,27,14,0.317073163,0.073741007,111.2,1.235611511,44.9742446,111.2,687,556,1123,0,3877
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,19,3,0.727272694,0.083018868,265,0.452830189,106.1811321,265,120,265,497,0,1884
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,11,8,0.157894729,0.042505593,111.75,1.407158837,45.26286353,111.75,629,447,631,0,2701
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,21,14,0.199999994,0.076419214,458,1.458515284,183.7834061,458,668,458,879,1,3078
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,21,24,-0.066666665,0.083179297,541,1.826247689,217.1304991,541,988,541,1191,1,3350
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,29,24,0.094339621,0.094642857,140,0.998214286,56.39928571,140,559,560,1134,0,3880
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,60,32,0.304347823,0.094845361,323.3333333,0.118556701,129.380756,323.3333333,115,970,1982,0,7309
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,54,38,0.173913042,0.156996587,41.85714286,1.40443686,17.30463189,41.85714286,823,586,1256,1,3909
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,35,0.299999997,0.120481928,415,0.580722892,166.2322892,415,482,830,1698,0,6234
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,53,25,0.358974354,0.119631902,46.57142857,0.932515337,19.00157756,46.57142857,608,652,1297,0,4412
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,48,25,0.315068489,0.090570719,100.75,0.236972705,40.39478908,100.75,191,806,1597,0,5437
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,42,23,0.292307688,0.112651646,64.11111111,1.275563258,26.15466975,64.11111111,736,577,1233,0,3938
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.333333323,0.097633136,112.6666667,2.094674556,45.90453649,112.6666667,708,338,561,0,2307
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,,inf,,,320,0,0,0,0
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.422222213,0.137195122,109.3333333,0.893292683,44.09065041,109.3333333,293,328,541,0,2113
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,60,32,0.304347823,0.096944152,474.5,0.577449947,190.03098,474.5,548,949,2000,0,6518
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,44,54,-0.102040815,0.094412331,346,0.368978805,138.5475915,346,383,1038,2018,2,6595
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,31,19,0.239999995,0.084745763,118,0.791525424,47.51661017,118,467,590,1224,1,4557
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,26,24,0.039999999,0.081699346,40.8,1.447712418,16.89908497,40.8,886,612,1014,0,3921
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,55,24,0.392405058,0.117037037,135,0.945185185,54.37807407,135,638,675,1391,11,4831
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,59,20,0.49367088,0.105053191,150.4,0.222074468,60.24882979,150.4,167,752,1467,0,5189
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,0.999999958,0.097560975,123,2.37398374,50.1495935,123,584,246,510,0,1920
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,75,39,0.315789471,0.161931818,234.6666667,0.802556818,94.18768939,234.6666667,565,704,1367,0,4804
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,22,0,0.999999955,0.048140044,152.3333333,0.330415755,61.06549964,152.3333333,151,457,891,0,3257
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,5,0.473684186,0.051912568,366,0.797814208,146.7191257,366,292,366,758,0,2817
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.142857122,0.04964539,70.5,1.978723404,28.99148936,70.5,279,141,258,0,1037
blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0,0,,inf,,,362,0,0,0,0
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,23,67,-0.488888883,0.140186916,642,0.459501558,256.9838006,642,295,642,1398,0,4453
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,15,0.032258063,0.10064935,154,0.788961039,61.91558442,154,243,308,562,1,2145
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55,38,0.182795697,0.116834171,39.8,0.331658291,16.05266332,39.8,264,796,1612,0,5473
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,41,3,0.863636344,0.137931034,319,2.724137931,128.6896552,319,869,319,651,0,2275
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,3,0,0.999999667,0.015789474,63.33333333,2.689473684,26.40912281,63.33333333,511,190,298,0,1205
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,21,9,0.399999987,0.054744525,109.6,0.547445255,44.0589781,109.6,300,548,1109,0,3383
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,21,8,0.448275847,0.090342679,321,0.797507788,128.7190031,321,256,321,684,0,2369
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,14,9,0.217391295,0.158620689,72.5,4.896551724,30.95862069,72.5,710,145,320,0,1128
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4,0,0.99999975,0.051282051,26,3.858974359,11.94358974,26,301,78,179,0,595
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,20,34,-0.259259254,0.159763313,112.6666667,0.298816568,45.18619329,112.6666667,101,338,577,0,2143
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5,2,0.428571367,0.092105262,38,2.407894737,16.16315789,38,183,76,136,0,520
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,45,18,0.428571422,0.102439024,615,1.097560976,246.4390244,615,675,615,1311,0,4705
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,7,17,-0.416666649,0.102127659,47,3.744680851,20.29787234,47,880,235,460,2,1599
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,20,37,-0.298245609,0.12780269,111.5,0.979820628,44.99192825,111.5,437,446,856,0,3024
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,26,48,-0.297297293,0.090797546,407.5,0.223312883,163.0893252,407.5,182,815,1681,0,6118
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,41,22,0.301587297,0.090128755,349.5,0.187410587,139.8749642,349.5,131,699,1489,1,4631
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,29,23,0.115384613,0.080745341,40.25,1.385093168,16.65403727,40.25,892,644,1321,0,4093
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,23,7,0.533333316,0.094339622,53,2.559748428,22.22389937,53,814,318,620,0,2150
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,37,8,0.64444443,0.088408644,50.9,0.196463654,20.43858546,50.9,100,509,1011,2,3372
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,26,6,0.62499998,0.190476189,168,1.392857143,67.75714286,168,234,168,355,1,1142
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,38,15,0.433962256,0.072207084,91.75,0.450953678,36.88038147,91.75,331,734,1671,0,5212
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,22,66,-0.499999994,0.214634146,37.27272727,0.585365854,15.14323725,37.27272727,240,410,651,0,2638
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,57,23,0.424999995,0.164948453,80.83333333,0.806185567,32.65580756,80.83333333,391,485,781,0,3012
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,19,31,-0.239999995,0.086956522,575,1.526956522,230.6107826,575,878,575,1100,2,3641
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,28,23,0.098039214,0.072443182,352,0.147727273,140.8590909,352,104,704,1381,1,4912
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,22,76,-0.551020403,0.222727272,36.66666667,1.886363636,15.42121212,36.66666667,830,440,703,0,2847
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,37,29,0.121212119,0.102167183,646,0.874613003,258.7498452,646,565,646,1322,2,4310
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,23,13,0.27777777,0.102564102,351,2.173789174,141.2695157,351,763,351,682,0,2540
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,36,24,0.199999997,0.104895105,286,0.928321678,114.7713287,286,531,572,1222,0,4152
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,31,46,-0.194805192,0.098844673,389.5,0.553273427,156.0213094,389.5,431,779,1246,0,5323
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,19,11,0.266666658,0.016313214,1839,0.099510604,735.6398042,1839,183,1839,2091,0,9543
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,33,42,-0.119999998,0.098554533,380.5,0.76609724,152.5064389,380.5,583,761,1851,2,5321
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,28,67,-0.410526311,0.116995074,406,0.428571429,162.5714286,406,348,812,1591,1,5796
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,3,3,0,0.089552237,33.5,8.47761194,16.79104478,33.5,568,67,117,0,432
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,29,4,0.757575735,0.070663811,155.6666667,0.736616702,62.56131335,155.6666667,344,467,846,0,2794
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,36,31,0.074626865,0.099112426,169,1.301775148,68.12071006,169,880,676,1391,0,4994
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,42,14,0.499999991,0.068543452,102.125,0.165238678,40.91609547,102.125,135,817,1741,0,5446
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,27,30,-0.052631578,0.122055674,467,0.888650964,187.1554604,467,415,467,891,0,3199
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,15,41,-0.464285706,0.062992126,889,1.05511811,356.0220472,889,938,889,1781,0,6035
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,13,41,-0.518518509,0.12,56.25,0.855555556,22.84222222,56.25,385,450,981,2,3035
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,32,45,-0.168831167,0.155555555,165,1.2,66.48,165,594,495,984,0,3448
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,20,26,-0.13043478,0.101769911,90.4,1.194690265,36.63787611,90.4,540,452,977,0,3196
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,19,37,-0.321428566,0.084210526,110.8333333,0.896240602,44.69182957,110.8333333,596,665,1378,0,4259
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3,3,0,0.08219178,24.33333333,3.808219178,11.256621,24.33333333,278,73,200,0,425
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,28,44,-0.222222219,0.139805825,103,0.998058252,41.5992233,103,514,515,830,0,3368
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,5,24,-0.655172391,0.091194968,53,1.86163522,21.94465409,53,592,318,457,0,1953
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,26,52,-0.333333329,0.145522388,536,1.078358209,214.8313433,536,578,536,1001,2,3890
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,22,34,-0.21428571,0.134292566,417,0.51558753,167.006235,417,215,417,634,1,2675
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,4,2,0.333333278,0.029126213,206,3.713592233,83.88543689,206,765,206,365,0,1484
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,12,3,0.59999996,0.056390977,88.66666667,1.334586466,36.00050125,88.66666667,355,266,374,0,1616
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,32,54,-0.255813951,0.162570888,264.5,1.103969754,106.2415879,264.5,584,529,1781,0,3599
